JDTDB,CalendarDate(TDB),X,Y,Z
2403596.500000000, A.D. 1868-Sep-21 00:00:00.0000,  3.195539362791442E+01,  3.747326625892150E+01,  2.065901818173727E+00
2403696.500000000, A.D. 1868-Dec-30 00:00:00.0000,  3.180204921956518E+01,  3.759493142440014E+01,  2.150097175394271E+00
2403796.500000000, A.D. 1869-Apr-09 00:00:00.0000,  3.164785101060396E+01,  3.771566001593955E+01,  2.234211052918320E+00
2403896.500000000, A.D. 1869-Jul-18 00:00:00.0000,  3.149276081385684E+01,  3.783540989773812E+01,  2.318297287925974E+00
2403996.500000000, A.D. 1869-Oct-26 00:00:00.0000,  3.133678548022890E+01,  3.795414594000138E+01,  2.402273401169547E+00
2404096.500000000, A.D. 1870-Feb-03 00:00:00.0000,  3.117997858397439E+01,  3.807190200630998E+01,  2.486154645743804E+00
2404196.500000000, A.D. 1870-May-14 00:00:00.0000,  3.102232925527744E+01,  3.818861804128044E+01,  2.569978017617504E+00
2404296.500000000, A.D. 1870-Aug-22 00:00:00.0000,  3.086385098880980E+01,  3.830429381164092E+01,  2.653670254178066E+00
2404396.500000000, A.D. 1870-Nov-30 00:00:00.0000,  3.070460155552639E+01,  3.841895686398028E+01,  2.737257877979826E+00
2404496.500000000, A.D. 1871-Mar-10 00:00:00.0000,  3.054455511647041E+01,  3.853256067077868E+01,  2.820774493886864E+00
2404596.500000000, A.D. 1871-Jun-18 00:00:00.0000,  3.038374472036049E+01,  3.864509728792992E+01,  2.904138932285892E+00
2404696.500000000, A.D. 1871-Sep-26 00:00:00.0000,  3.022223355703533E+01,  3.875662585595712E+01,  2.987405715511041E+00
2404796.500000000, A.D. 1872-Jan-04 00:00:00.0000,  3.005996246898183E+01,  3.886708823184151E+01,  3.070592316911657E+00
